city_1;city_2;distance;required_permit
Brilon;Korbach;35;F23
Brilon;Lippstadt;39;F23
Brilon;Meschede;25;F23
Brilon;Salzkotten;38;NONE
Bruchköbel;Butzbach;40;K62
Bruchköbel;Büdingen;24;K62
Bruchköbel;Dieburg;37;NONE
Bruchköbel;Dietzenbach;30;K62
Bruchköbel;Dreieich;35;K62
Bruchköbel;Egelsbach;38;K62
Bruchköbel;Erlensee;9;K62
Bruchköbel;Eschborn;33;K62
Bruchköbel;Frankfurt;23;NONE
Bruchköbel;Friedrichsdorf;26;K62
Bruchköbel;Gelnhausen;24;NONE
Bruchköbel;Großostheim;41;NONE
Bruchköbel;Hanau;7;K62
Bruchköbel;Hattersheim;42;K62
Bruchköbel;Heusenstamm;24;NONE
Bruchköbel;Hungen;44;NONE
Bruchköbel;Karben;15;NONE
Bruchköbel;Kelkheim (Taunus);42;K62
Bruchköbel;Kelsterbach;41;K62
Bruchköbel;Kriftel;40;K62
Bruchköbel;Kronberg;38;NONE
Bruchköbel;Königstein im Taunus;40;NONE
Bruchköbel;Langenselbold;10;K62
Bruchköbel;Maintal;8;K62
Bruchköbel;Mörfelden-Walldorf;40;NONE
Bruchköbel;Neu Isenburg;29;NONE
Bruchköbel;Neu-Anspach;39;K62
Bruchköbel;Nidda;35;K62
Bruchköbel;Nidderau;12;NONE
Bruchköbel;Obertshausen;20;K62
Bruchköbel;Oberursel;30;K62
Bruchköbel;Rodenbach;12;K62
Bruchköbel;Rodgau;22;NONE
Bruchköbel;Rosbach vor der Höhe;24;NONE
Bruchköbel;Seligenstadt;23;K62
Bruchköbel;Steinbach am Taunus;34;K62
Bruchköbel;Usingen;41;K62
Bruchköbel;Wächtersbach;37;NONE
Bruchsal;Böhl-Iggelheim;50;K62
Bruchsal;Eggenstein-Leopoldshafen;19;K62
Bruchsal;Eppelheim;35;K62
Bruchsal;Eppingen;28;K62
Bruchsal;Ettlingen;33;K62
Bruchsal;Germersheim;24;K62
Bruchsal;Heidelberg;38;NONE
Bruchsal;Herxheim;40;K62
Bruchsal;Hockenheim;29;K62
Bruchsal;Karlsruhe;26;K62
Bruchsal;Leimen;30;K62
Bruchsal;Mühlacker;33;K62
Bruchsal;Pforzheim;33;K62
Bruchsal;Sandhausen;28;NONE
Bruchsal;Schifferstadt;46;NONE
Bruchsal;Schwetzingen;34;K62
Bruchsal;Sinsheim;30;NONE
Bruchsal;Speyer;38;K62
Bruchsal;Vaihingen an der Enz;41;K62
Bruchsal;Waghäusel;16;K62
Bruchsal;Walldorf;24;NONE
Bruchsal;Wiesloch;22;NONE
Bruchsal;Wörth am Rhein;33;K62
Bruckmühl;Geretsried;43;NONE
Bruckmühl;Haar;34;X09
Bruckmühl;Holzkirchen;20;X09
Bruckmühl;Kolbermoor;12;X09
Bruckmühl;Ottobrunn;32;X09
Bruckmühl;Poing;40;NONE
Bruckmühl;Rosenheim;18;X09
Bruckmühl;Taufkirchen;35;X09
Bruckmühl;Unterhaching;37;NONE
Bruckmühl;Vaterstetten;34;X09
Brunsbüttel;Cuxhaven;86;A38
Brunsbüttel;Drochtersen;44;A38
Brunsbüttel;Glückstadt;26;A38
Brunsbüttel;Heide;37;A38
Brunsbüttel;Hohenlockstedt;36;A38
Brunsbüttel;Horst;38;A38
Brunsbüttel;Itzehoe;28;NONE
Brunsbüttel;Marne;13;NONE
Brunsbüttel;Meldorf;24;A38
Brühl;Cologne;13;K62
Brühl;Dormagen;35;NONE
Brühl;Düren;34;K62
Brühl;Erftstadt;13;K62
Brühl;Euskirchen;25;NONE
Brühl;Frechen;13;K62
Brühl;Hennef;40;K62
Brühl;Hürth;6;K62
Brühl;Kerpen;22;K62
Brühl;Königswinter;33;NONE
Brühl;Langenfeld;45;NONE
Brühl;Leichlingen;43;NONE
Brühl;Leverkusen;33;NONE
Brühl;Lohmar;34;K62
Brühl;Mechernich;33;K62
Brühl;Niederkassel;27;K62
Brühl;Overath;43;NONE
Brühl;Pulheim;22;K62
Brühl;Rheinbach;29;K62
Brühl;Rösrath;28;K62
Brühl;Sankt Augustin;29;K62
Brühl;Siegburg;32;NONE
Brühl;Troisdorf;33;K62
Brühl;Wesseling;6;K62
Buchen in Odenwald;Erbach;42;X09
Buchen in Odenwald;Michelstadt;42;X09
Buchen in Odenwald;Mosbach;25;X09
Buchen in Odenwald;Wertheim;38;X09
Buchholz in der Nordheide;Buxtehude;25;A38
Buchholz in der Nordheide;Glinde;44;A38
Buchholz in der Nordheide;Hamburg;37;NONE
Buchholz in der Nordheide;Harsefeld;36;A38
Buchholz in der Nordheide;Jork;33;NONE
Buchholz in der Nordheide;Neu Wulmstorf;21;A38
Buchholz in der Nordheide;Oststeinbek;41;NONE
Buchholz in der Nordheide;Reinbek;46;NONE
Buchholz in der Nordheide;Scheeßel;33;A38
Buchholz in der Nordheide;Schenefeld;43;NONE
Buchholz in der Nordheide;Schneverdingen;28;NONE
Buchholz in der Nordheide;Seevetal;18;A38
Buchholz in der Nordheide;Stelle;26;A38
Buchholz in der Nordheide;Tostedt;12;NONE
Buchholz in der Nordheide;Wedel;48;A38
Buchholz in der Nordheide;Wentorf bei Hamburg;48;A38
Buchholz in der Nordheide;Winsen;33;A38
Burg;Genthin;27;NONE
Burg;Gommern;29;F24
Burg;Haldensleben;42;F24
Burg;Magdeburg;29;F24
Burg;Möckern;17;NONE
Burg;Schönebeck;38;NONE
Burg;Tangerhütte;27;F24
Burg;Tangermünde;46;F24
Burg;Wolmirstedt;25;NONE
Burgdorf;Celle;24;NONE
Burgdorf;Edemissen;30;NONE
Burgdorf;Garbsen;32;NONE
Burgdorf;Gehrden;37;F24
Burgdorf;Großburgwedel;14;NONE
Burgdorf;Hambühren;27;F24
Burgdorf;Hannover;24;NONE
Burgdorf;Harsum;32;NONE
Burgdorf;Hemmingen;29;NONE
Burgdorf;Hildesheim;42;F24
Burgdorf;Ilsede;29;F24
Burgdorf;Isernhagen-Süd;12;NONE
Burgdorf;Laatzen;28;NONE
Burgdorf;Lahstedt;31;NONE
Burgdorf;Langenhagen;21;F24
Burgdorf;Lehrte;11;F24
Burgdorf;Lengede;40;F24
Burgdorf;Pattensen;32;NONE
Burgdorf;Peine;25;NONE
Burgdorf;Ronnenberg;33;F24
Burgdorf;Sarstedt;33;F24
Burgdorf;Seelze;35;NONE
Burgdorf;Sehnde;16;F24
Burgdorf;Uetze;14;F24
Burgdorf;Vechelde;39;F24
Burgdorf;Wendeburg;36;F24
Burgstädt;Chemnitz;15;F24
Burgstädt;Crimmitschau;39;NONE
Burgstädt;Döbeln;38;NONE
Burgstädt;Flöha;25;F24
Burgstädt;Frohburg;31;NONE
Burgstädt;Glauchau;28;F24
Burgstädt;Hohenstein-Ernstthal;18;NONE
Burgstädt;Lichtenstein;27;F24
Burgstädt;Limbach-Oberfrohna;9;NONE
Burgstädt;Meerane;31;F24
Burgstädt;Mittweida;14;NONE
Burgstädt;Mülsen;34;F24
Burgstädt;Nobitz;28;F24
Burgstädt;Schmölln;44;NONE
Burgstädt;Stollberg;30;NONE
Burgstädt;Zwickau;42;F24
Burgstädt;Zwönitz;41;F24
Buttstädt;Erfurt;35;F24
Buttstädt;Jena;30;F24
Buttstädt;Kölleda;20;NONE
Buttstädt;Naumburg;34;NONE
Buttstädt;Querfurt;41;F24
Buttstädt;Sömmerda;24;F24
Buttstädt;Weimar;21;F24
Butzbach;Eschborn;40;NONE
Butzbach;Friedrichsdorf;23;NONE
Butzbach;Gießen;19;K62
Butzbach;Grünberg;35;K62
Butzbach;Hungen;21;K62
Butzbach;Karben;30;K62
Butzbach;Kronberg;43;NONE
Butzbach;Königstein im Taunus;44;NONE
Butzbach;Langgöns;9;K62
Butzbach;Lich;17;K62
Butzbach;Lollar;28;NONE
Butzbach;Maintal;44;NONE
Butzbach;Neu-Anspach;24;K62
Butzbach;Nidda;34;NONE
Butzbach;Nidderau;37;K62
Butzbach;Oberursel;35;K62
Butzbach;Reiskirchen;24;K62
Butzbach;Rosbach vor der Höhe;22;NONE
Butzbach;Schotten;41;K62
Butzbach;Steinbach am Taunus;42;K62
Butzbach;Usingen;18;K62
Butzbach;Weilburg;38;NONE
Butzbach;Wetzlar;21;K62
Buxtehude;Drochtersen;39;NONE
Buxtehude;Ellerau;51;A38
Buxtehude;Elmshorn;59;NONE
Buxtehude;Glinde;42;A38
Buxtehude;Halstenbek;37;A38
Buxtehude;Hamburg;34;A38
Buxtehude;Harsefeld;16;NONE
Buxtehude;Jork;9;A38
Buxtehude;Neu Wulmstorf;8;NONE
Buxtehude;Norderstedt;47;A38
Buxtehude;Oststeinbek;39;A38
Buxtehude;Pinneberg;39;A38
Buxtehude;Quickborn;47;NONE
Buxtehude;Rellingen;42;NONE
Buxtehude;Schenefeld;35;A38
Buxtehude;Seevetal;31;A38
Buxtehude;Stade;23;A38
Buxtehude;Stelle;39;A38
Buxtehude;Tornesch;53;A38
Buxtehude;Tostedt;23;NONE
Buxtehude;Uetersen;52;A38
Buxtehude;Wedel;41;A38
Buxtehude;Zeven;37;NONE
Böblingen;Calw;27;X09
Böblingen;Ditzingen;24;X09
Böblingen;Esslingen;30;NONE
Böblingen;Fellbach;27;NONE
Böblingen;Filderstadt;20;NONE
Böblingen;Freiberg am Neckar;39;X09
Böblingen;Gerlingen;20;NONE
Böblingen;Herrenberg;16;X09
Böblingen;Kirchheim unter Teck;39;NONE
Böblingen;Korntal-Münchingen;26;X09
Böblingen;Kornwestheim;27;X09
Böblingen;Leinfelden-Echterdingen;15;NONE
Böblingen;Leonberg;18;NONE
Böblingen;Ludwigsburg;35;X09
Böblingen;Marbach am Neckar;42;X09
Böblingen;Metzingen;35;X09
Böblingen;Mössingen;39;X09
Böblingen;Mühlacker;43;X09
Böblingen;Nagold;29;NONE
Böblingen;Nürtingen;34;NONE
Böblingen;Ostfildern;23;X09
Böblingen;Pforzheim;44;NONE
Böblingen;Pfullingen;38;NONE
Böblingen;Renningen;13;X09
Böblingen;Reutlingen;35;X09
Böblingen;Sindelfingen;4;X09
Böblingen;Stuttgart;19;NONE
Böblingen;Tübingen;25;X09
Böblingen;Vaihingen an der Enz;42;X09
Böblingen;Waiblingen;32;X09
Böblingen;Weil der Stadt;16;X09
Böblingen;Wendlingen am Neckar;32;X09
Böhl-Iggelheim;Bürstadt;43;K62
Böhl-Iggelheim;Eggenstein-Leopoldshafen;49;K62
Böhl-Iggelheim;Eppelheim;34;K62
Böhl-Iggelheim;Frankenthal;22;K62
Böhl-Iggelheim;Germersheim;27;K62
Böhl-Iggelheim;Grünstadt;34;K62
Böhl-Iggelheim;Haßloch;6;K62
Böhl-Iggelheim;Heidelberg;42;K62
Böhl-Iggelheim;Herxheim;40;NONE
Böhl-Iggelheim;Hockenheim;25;NONE
Böhl-Iggelheim;Lampertheim;38;NONE
Böhl-Iggelheim;Landau;32;NONE
Böhl-Iggelheim;Leimen;38;K62
Böhl-Iggelheim;Limburgerhof;12;K62
Böhl-Iggelheim;Ludwigshafen;21;NONE
Böhl-Iggelheim;Mannheim;22;K62
Böhl-Iggelheim;Mutterstadt;11;K62
Böhl-Iggelheim;Sandhausen;37;K62
Böhl-Iggelheim;Schifferstadt;4;NONE
Böhl-Iggelheim;Schriesheim;38;NONE
Böhl-Iggelheim;Schwetzingen;29;NONE
Böhl-Iggelheim;Speyer;11;K62
Böhl-Iggelheim;Viernheim;33;K62
Böhl-Iggelheim;Waghäusel;29;K62
Böhl-Iggelheim;Walldorf;35;K62
Böhl-Iggelheim;Weinheim;39;K62
Böhl-Iggelheim;Wiesloch;38;K62
Böhl-Iggelheim;Worms;36;NONE
Büchen;Geesthacht;22;NONE
Büchen;Glinde;40;NONE
Büchen;Großhansdorf;39;A38
Büchen;Lauenburg;14;A38
Büchen;Lüneburg;35;A38
Büchen;Mölln;19;NONE
Büchen;Oststeinbek;44;A38
Büchen;Ratzeburg;28;A38
Büchen;Reinbek;29;NONE
Büchen;Schwarzenbek;11;NONE
Büchen;Trittau;27;NONE
Büchen;Wentorf bei Hamburg;27;A38
Büchen;Winsen;41;A38
Bückeburg;Bünde;39;F23
Bückeburg;Hameln;31;F23
Bückeburg;Herford;36;F23
Bückeburg;Hessisch Oldendorf;20;NONE
Bückeburg;Lage;52;F23
Bückeburg;Lemgo;36;F23
Bückeburg;Löhne;31;NONE
Bückeburg;Lübbecke;33;NONE
Bückeburg;Minden;13;F23
Bückeburg;Petershagen;19;NONE
Bückeburg;Porta Westfalica;16;F23
Bückeburg;Rehburg-Loccum;32;F23
Bückeburg;Rinteln;11;F23
Bückeburg;Springe;47;NONE
Bückeburg;Stadthagen;14;NONE
Bückeburg;Wunstorf;36;NONE
Büdelsdorf;Eckernförde;22;NONE
Büdelsdorf;Flintbek;38;NONE
Büdelsdorf;Fockbek;5;NONE
Büdelsdorf;Gettorf;24;NONE
Büdelsdorf;Heikendorf;47;A38
Büdelsdorf;Hohenwestedt;31;NONE
Büdelsdorf;Kiel;36;A38
Büdelsdorf;Kronshagen;36;NONE
Büdelsdorf;Kropp;18;A38
Büdelsdorf;Molfsee;37;A38
Büdelsdorf;Neumünster;43;NONE
Büdelsdorf;Nortorf;28;NONE
Büdelsdorf;Osterrönfeld;6;NONE
Büdelsdorf;Rendsburg;3;NONE
Büdelsdorf;Schleswig;30;A38
Büdingen;Erlensee;28;X09
Büdingen;Friedrichsdorf;40;NONE
Büdingen;Gelnhausen;14;X09
Büdingen;Hanau;30;NONE
Büdingen;Heusenstamm;44;NONE
Büdingen;Hungen;32;NONE
Büdingen;Karben;29;NONE
Büdingen;Langenselbold;16;NONE
Büdingen;Lich;49;X09
Büdingen;Maintal;36;X09
Büdingen;Nidda;20;NONE
Büdingen;Nidderau;27;NONE
Büdingen;Obertshausen;40;X09
Büdingen;Rodenbach;23;NONE
Büdingen;Rodgau;43;X09
Büdingen;Rosbach vor der Höhe;34;X09
Büdingen;Schlüchtern;39;X09
Büdingen;Schotten;30;NONE
Büdingen;Seligenstadt;41;NONE
Büdingen;Steinau an der Straße;33;X09
Büdingen;Wächtersbach;19;NONE
Bühl;Ettlingen;40;NONE
Bühl;Freudenstadt;48;K62
Bühl;Gaggenau;22;NONE
Bühl;Kehl;38;NONE
Bühl;Oberkirch;21;K62
Bühl;Offenburg;37;NONE
Bühl;Rastatt;23;K62
Bünde;Detmold;41;NONE
Bünde;Herford;13;F23
Bünde;Hilter;38;F23
Bünde;Lage;32;NONE
Bünde;Lemgo;36;NONE
Bünde;Löhne;9;F23
Bünde;Lübbecke;14;F23
Bünde;Melle;20;NONE
Bünde;Minden;34;F23
Bünde;Petershagen;41;F23
Bünde;Porta Westfalica;29;F23
Bünde;Rinteln;39;NONE
Bürstadt;Büttelborn;39;K62
Bürstadt;Darmstadt;36;K62
Bürstadt;Eppelheim;42;K62
Bürstadt;Frankenthal;22;NONE
Bürstadt;Gernsheim;18;NONE
Bürstadt;Griesheim;34;K62
Bürstadt;Groß-Gerau;37;K62
Bürstadt;Grünstadt;29;NONE
Bürstadt;Haßloch;47;K62
Bürstadt;Heidelberg;44;K62
Bürstadt;Heppenheim;15;NONE
Bürstadt;Lampertheim;7;K62
Bürstadt;Limburgerhof;31;NONE
Bürstadt;Lorsch;9;K62
Bürstadt;Ludwigshafen;23;K62
Bürstadt;Mannheim;21;NONE
Bürstadt;Mutterstadt;32;NONE
Bürstadt;Mörlenbach;26;K62
Bürstadt;Nauheim;42;K62
Bürstadt;Ober-Ramstadt;40;K62
Bürstadt;Pfungstadt;27;NONE
Bürstadt;Reinheim;46;NONE
Bürstadt;Roßdorf;43;K62
Bürstadt;Schifferstadt;40;NONE
Bürstadt;Schriesheim;35;NONE
Bürstadt;Schwetzingen;40;K62
Bürstadt;Seeheim-Jugenheim;26;K62
Bürstadt;Speyer;43;K62
Bürstadt;Trebur;41;K62
Bürstadt;Viernheim;22;K62
Bürstadt;Wald-Michelbach;36;K62
Bürstadt;Weinheim;28;K62
Bürstadt;Weiterstadt;37;K62
Bürstadt;Worms;8;K62
Büttelborn;Darmstadt;12;K62
Büttelborn;Dieburg;28;K62
Büttelborn;Dietzenbach;30;K62
Büttelborn;Dreieich;22;K62
Büttelborn;Egelsbach;17;K62
Büttelborn;Eppstein;38;K62
Büttelborn;Eschborn;34;NONE
Büttelborn;Flörsheim;18;K62
Büttelborn;Frankfurt;29;K62
Büttelborn;Gernsheim;20;K62
Büttelborn;Ginsheim-Gustavsburg;20;K62
Büttelborn;Griesheim;7;K62
Büttelborn;Groß-Gerau;3;K62
Büttelborn;Groß-Umstadt;34;K62
Büttelborn;Groß-Zimmern;25;K62
Büttelborn;Hattersheim;29;NONE
Büttelborn;Heppenheim;36;NONE
Büttelborn;Heusenstamm;33;NONE
Büttelborn;Hochheim am Version3.Main;24;K62
Büttelborn;Hofheim;32;NONE
Büttelborn;Ingelheim;42;K62
Büttelborn;Kelkheim (Taunus);38;NONE
Büttelborn;Kelsterbach;24;K62
Büttelborn;Kriftel;31;K62
Büttelborn;Kronberg;43;K62
Büttelborn;Königstein im Taunus;41;K62
Büttelborn;Lampertheim;45;K62
Büttelborn;Lorsch;35;K62
Büttelborn;Mainz;26;NONE
Büttelborn;Mörfelden-Walldorf;14;K62
Büttelborn;Nauheim;8;NONE
Büttelborn;Neu Isenburg;25;NONE
Büttelborn;Nieder-Olm;37;K62
Büttelborn;Niedernhausen;38;NONE
Büttelborn;Ober-Ramstadt;23;NONE
Büttelborn;Obertshausen;37;K62
Büttelborn;Oberursel;47;K62
Büttelborn;Pfungstadt;14;K62
Büttelborn;Raunheim;20;NONE
Büttelborn;Reinheim;28;NONE
Büttelborn;Rodgau;38;NONE
Büttelborn;Roßdorf;20;K62
Büttelborn;Rüsselsheim;16;K62
Büttelborn;Seeheim-Jugenheim;22;NONE
Büttelborn;Steinbach am Taunus;37;K62
Büttelborn;Trebur;10;K62
Büttelborn;Weiterstadt;7;NONE
Büttelborn;Wiesbaden;34;K62
Büttelborn;Worms;47;K62
Calau;Cottbus;29;F24
Calau;Doberlug-Kirchhain;35;F24
Calau;Drebkau;23;F24
Calau;Finsterwalde;27;F24
Calau;Großräschen;22;F24
Calau;Kolkwitz;23;NONE
Calau;Lauchhammer;38;F24
Calau;Luckau;21;F24
Calau;Lübben (Spreewald);27;NONE
Calau;Lübbenau/Spreewald;15;F24
Calau;Neuhausen;40;F24
Calau;Schipkau;28;F24
Calau;Schwarzheide;36;F24
Calau;Senftenberg;35;NONE
Calau;Vetschau/Spreewald;10;F24
Calw;Ditzingen;36;K62
Calw;Ettlingen;46;K62
Calw;Gaggenau;50;K62
Calw;Gerlingen;33;NONE
Calw;Herrenberg;21;K62
Calw;Horb am Neckar;42;K62
Calw;Korntal-Münchingen;38;NONE
Calw;Leinfelden-Echterdingen;40;K62
Calw;Leonberg;28;K62
Calw;Mühlacker;35;NONE
Calw;Nagold;28;K62
Calw;Pforzheim;27;K62
Calw;Renningen;20;K62
Calw;Sindelfingen;26;K62
Calw;Stuttgart;40;NONE
Calw;Tübingen;39;NONE
Calw;Vaihingen an der Enz;38;K62
Calw;Weil der Stadt;14;K62
Castrop-Rauxel;Datteln;12;NONE
Castrop-Rauxel;Dorsten;34;F23
Castrop-Rauxel;Dortmund;14;NONE
Castrop-Rauxel;Dülmen;48;NONE
Castrop-Rauxel;Ennepetal;39;F23
Castrop-Rauxel;Essen;28;NONE
Castrop-Rauxel;Gelsenkirchen;20;F23
Castrop-Rauxel;Gevelsberg;34;NONE
Castrop-Rauxel;Gladbeck;31;NONE
Castrop-Rauxel;Hagen;37;F23
Castrop-Rauxel;Hattingen;23;NONE
Castrop-Rauxel;Herne;9;F23
Castrop-Rauxel;Herten;18;F23
Castrop-Rauxel;Iserlohn;44;NONE
Castrop-Rauxel;Kamen;30;F23
Castrop-Rauxel;Lünen;23;F23
Castrop-Rauxel;Marl;26;NONE
Castrop-Rauxel;Mülheim;39;F23
Castrop-Rauxel;Oberhausen;35;F23
Castrop-Rauxel;Oer-Erkenschwick;14;NONE
Castrop-Rauxel;Recklinghausen;15;NONE
Castrop-Rauxel;Schwelm;37;NONE
Castrop-Rauxel;Schwerte;32;NONE
Castrop-Rauxel;Selm;25;NONE
Castrop-Rauxel;Unna;32;NONE
Castrop-Rauxel;Velbert;36;F23
Castrop-Rauxel;Waltrop;12;F23
Castrop-Rauxel;Werne an der Lippe;33;F23
Castrop-Rauxel;Wetter (Ruhr);22;F23
Castrop-Rauxel;Witten;15;F23
Castrop-Rauxel;Wuppertal;40;F23
Celle;Edemissen;40;F24
Celle;Gifhorn;42;NONE
Celle;Großburgwedel;26;F24
Celle;Hambühren;7;F24
Celle;Isernhagen-Süd;30;F24
Celle;Langenhagen;39;F24
Celle;Lehrte;33;NONE
Celle;Uetze;23;F24
Chemnitz;Döbeln;43;NONE
Chemnitz;Flöha;13;NONE
Chemnitz;Freiberg;37;X09
Chemnitz;Glauchau;34;X09
Chemnitz;Hohenstein-Ernstthal;16;X09
Chemnitz;Lichtenstein;24;X09
Chemnitz;Limbach-Oberfrohna;15;X09
Chemnitz;Marienberg;32;NONE
Chemnitz;Meerane;39;X09
Chemnitz;Mittweida;21;X09
Chemnitz;Mülsen;30;NONE
Chemnitz;Nobitz;41;X09
Chemnitz;Olbernhau;47;X09
Chemnitz;Schneeberg;38;X09
Chemnitz;Schwarzenberg;45;NONE
Chemnitz;Stollberg;19;X09
Chemnitz;Zwickau;42;NONE
Chemnitz;Zwönitz;31;X09
Clausthal-Zellerfeld;Duderstadt;42;F24
Clausthal-Zellerfeld;Einbeck;45;NONE
Clausthal-Zellerfeld;Ellrich;45;NONE
Clausthal-Zellerfeld;Goslar;20;F24
Clausthal-Zellerfeld;Herzberg am Harz;21;NONE
Clausthal-Zellerfeld;Langelsheim;24;NONE
Clausthal-Zellerfeld;Northeim;33;F24
Clausthal-Zellerfeld;Osterode;11;F24
Clausthal-Zellerfeld;Osterwieck;42;F24
Clausthal-Zellerfeld;Seesen;22;NONE
Clausthal-Zellerfeld;Wernigerode;51;NONE
Cloppenburg;Diepholz;40;NONE
Cloppenburg;Dinklage;26;F23
Cloppenburg;Edewecht;39;F23
Cloppenburg;Emstek;9;F23
Cloppenburg;Friesoythe;24;F23
Cloppenburg;Garrel;12;F23
Cloppenburg;Goldenstedt;30;NONE
Cloppenburg;Großenkneten;22;F23
Cloppenburg;Hatten;31;F23
Cloppenburg;Lohne;28;F23
Cloppenburg;Löningen;28;F23
Cloppenburg;Oldenburg;40;F23
Cloppenburg;Quakenbrück;23;NONE
Cloppenburg;Steinfeld;36;F23
Cloppenburg;Vechta;25;NONE
Cloppenburg;Visbek;21;F23
Cloppenburg;Wardenburg;29;NONE
Cloppenburg;Werlte;28;F23
Cloppenburg;Wildeshausen;28;F23
Coburg;Eisfeld;20;NONE
Coburg;Föritz;26;X09
Coburg;Hildburghausen;31;NONE
Coburg;Kronach;34;X09
Coburg;Lichtenfels;22;NONE
Coburg;Neuhaus am Rennweg;41;X09
Coburg;Neustadt bei Coburg;15;NONE
Coburg;Römhild;43;X09
Coburg;Schleusingen;37;X09
Coburg;Sonneberg;22;X09
Coesfeld;Dülmen;16;NONE
Coesfeld;Greven;39;NONE
Coesfeld;Gronau;38;F23
Coesfeld;Marl;38;NONE
Coesfeld;Münster;40;F23
Coesfeld;Oer-Erkenschwick;47;NONE
Coesfeld;Steinfurt;29;F23
Cologne;Dormagen;23;F23
Cologne;Erftstadt;23;F23
Cologne;Erkrath;39;NONE
Cologne;Euskirchen;40;NONE
Cologne;Frechen;11;F23
Cologne;Grevenbroich;33;NONE
Cologne;Haan;31;F23
Cologne;Hennef;39;NONE
Cologne;Hilden;32;NONE
Cologne;Hürth;9;NONE
Cologne;Kerpen;24;NONE
Cologne;Königswinter;40;NONE
Cologne;Langenfeld;27;F23
Cologne;Leichlingen;25;F23
Cologne;Leverkusen;14;F23
Cologne;Lohmar;30;NONE
Cologne;Mettmann;44;F23
Cologne;Neuss;37;F23
Cologne;Niederkassel;18;F23
Cologne;Overath;28;F23
Cologne;Pulheim;14;F23
Cologne;Remscheid;41;F23
Cologne;Rheinbach;40;F23
Cologne;Rösrath;19;NONE
Cologne;Sankt Augustin;32;F23
Cologne;Siegburg;30;NONE
Cologne;Solingen;34;NONE
Cologne;Troisdorf;23;F23
Cologne;Wermelskirchen;35;NONE
Cologne;Wesseling;16;F23
Coswig;Dessau-Roßlau;19;NONE
Coswig;Gräfenhainichen;31;F24
Coswig;Wiesenburg;31;NONE
Coswig;Wittenberg;16;NONE
Coswig;Zerbst;29;F24
Cottbus;Drebkau;16;F24
Cottbus;Forst (Lausitz);28;NONE
Cottbus;Großräschen;35;NONE
Cottbus;Guben;41;NONE
Cottbus;Kolkwitz;6;NONE
Cottbus;Lübbenau/Spreewald;32;F24
Cottbus;Neuhausen;13;NONE
Cottbus;Senftenberg;40;F24
Cottbus;Spremberg;23;NONE
Cottbus;Vetschau/Spreewald;20;F24
Crailsheim;Künzelsau;42;NONE
Crailsheim;Schwäbisch Hall;29;NONE
Cremlingen;Edemissen;39;F24
Cremlingen;Gifhorn;34;F24
Cremlingen;Helmstedt;26;NONE
Cremlingen;Ilsede;37;NONE
Cremlingen;Königslutter am Elm;11;F24
Cremlingen;Lahstedt;37;F24
Cremlingen;Lehre;10;F24
Cremlingen;Lengede;27;F24
Cremlingen;Osterwieck;40;NONE
Cremlingen;Peine;39;NONE
Cremlingen;Salzgitter;28;NONE
Cremlingen;Sassenburg;39;NONE
Cremlingen;Schöningen;29;NONE
Cremlingen;Vechelde;21;NONE
Cremlingen;Wendeburg;22;NONE
Cremlingen;Wolfenbüttel;14;F24
Cremlingen;Wolfsburg;24;F24
Crimmitschau;Frohburg;37;NONE
Crimmitschau;Gera;26;NONE
Crimmitschau;Glauchau;11;X09
Crimmitschau;Greiz;28;NONE
Crimmitschau;Hohenstein-Ernstthal;27;NONE
Crimmitschau;Lichtenstein;25;NONE
Crimmitschau;Limbach-Oberfrohna;33;X09
Crimmitschau;Meerane;7;X09
Crimmitschau;Meuselwitz;32;X09
Crimmitschau;Mülsen;19;NONE
Crimmitschau;Nobitz;25;X09
Crimmitschau;Reichenbach/Vogtland;28;NONE
Crimmitschau;Ronneburg;18;X09
Crimmitschau;Schmölln;12;NONE
Crimmitschau;Schneeberg;38;NONE
Crimmitschau;Stollberg;40;NONE
Crimmitschau;Weida;30;NONE
Crimmitschau;Werdau;11;X09
Crimmitschau;Zeitz;41;NONE
Crimmitschau;Zeulenroda;41;X09
Crimmitschau;Zwickau;18;X09
Cuxhaven;Langen;30;A38
Cuxhaven;Marne;102;A38
Cuxhaven;Meldorf;109;A38
Dachau;Erding;39;X09
Dachau;Freising;34;X09
Dachau;Friedberg;42;NONE
Dachau;Fürstenfeldbruck;18;X09
Dachau;Garching bei München;17;X09
Dachau;Gauting;27;NONE
Dachau;Germering;20;NONE
Dachau;Gilching;26;X09
Dachau;Gröbenzell;10;X09
Dachau;Haar;39;NONE
Dachau;Ismaning;20;X09
Dachau;Karlsfeld;8;X09
Dachau;München;19;X09
Dachau;Neufahrn bei Freising;23;X09
Dachau;Olching;13;NONE
Dachau;Ottobrunn;32;X09
Dachau;Pfaffenhofen;36;X09
Dachau;Poing;41;X09
Dachau;Puchheim;17;X09
Dachau;Schrobenhausen;38;NONE
Dachau;Starnberg;39;X09
Dachau;Taufkirchen;30;X09
Dachau;Unterhaching;28;NONE
Dachau;Unterschleißheim;13;X09
Dachau;Vaterstetten;39;X09
Dallgow-Döberitz;Fahrland;16;F24
Dallgow-Döberitz;Falkensee;4;F24
Dallgow-Döberitz;Groß Kreutz;32;F24
Dallgow-Döberitz;Großbeeren;34;F24
Dallgow-Döberitz;Hennigsdorf;22;F24
Dallgow-Döberitz;Hohen Neuendorf;29;F24
